Query,Execution Times
Query 1,125000,94900,81600,80500,79600,115900,98500,71500,67600,65500,66800,68300,63200,66600,63800,61600,59000,59400,59600,58700,59300,59700,60600,59700,59800,59400,58900,59200,59100,59100
Query 2,65200,63800,61100,60600,60000,59700,60000,60500,60800,59700,60100,60600,60800,59500,59000,59200,59600,59900,59600,59100,60100,59500,59900,60000,59600,70100,70100,67000,97700,93700
Query 3,88800,66400,63000,62800,61000,61300,61000,60400,60500,62600,60100,60500,61600,91000,78100,62800,61500,62900,62200,61000,61800,61300,60600,60800,62200,63500,60700,61200,61500,61300
Query 4,65700,64300,61300,61000,60600,61300,60500,60400,60100,60700,61700,62900,61600,61800,269800,95600,66400,62900,62100,61400,61600,60900,62200,61000,60100,60600,70700,69300,68200,63200
