Query,Execution Times
Query 1,119400,94700,86000,95600,67300,66800,64900,62600,62800,62800,62700,62400,62800,62800,62400,64400,62500,62300,64500,62000,95800,91900,67900,66300,61300,61200,59900,60300,60400,59400
Query 2,64200,61400,60100,60800,60300,61200,60600,60100,60000,59800,59500,59800,59600,60200,59600,59800,59500,60200,59800,59600,59700,72500,84900,98000,103300,93300,83600,81200,83200,80400
Query 3,86700,84500,86800,64800,63000,66800,64900,65600,65100,64400,64800,66900,65600,67000,65900,66300,66700,109900,81000,100400,95800,87200,94700,91900,95800,91400,92300,106400,100000,92200
Query 4,93500,85400,93100,94700,87100,94100,89100,99800,99700,96900,94400,91800,93300,92700,91300,92100,96700,94000,101800,93600,94500,94300,94600,97100,94100,95800,93800,93900,92700,98800
