Query,Execution Times
Query 1,906400,131200,98100,91800,81600,81200,99900,83000,79200,76200,77100,77000,74400,68700,69600,64500,60600,61500,60100,60900,62600,60100,59100,60100,60100,59300,59700,60300,60800,59800
Query 2,65300,63200,63600,62400,61400,60300,61400,61000,60400,60900,59400,59800,59900,60400,59600,60300,59800,60200,60600,59900,60000,59300,61700,80600,75100,63600,67000,71000,73000,63500
Query 3,66400,64200,62000,62900,62200,61500,61400,103800,127500,88300,68200,67600,63800,63300,62700,63300,64000,63600,62700,62800,68400,74600,63400,63000,62800,62900,62800,62600,63100,62900
Query 4,68900,70600,61700,61100,60700,63400,61300,61700,60500,60900,60900,60500,60400,59900,60100,60700,59900,59900,60200,61400,60400,61200,60700,60100,60000,59800,59900,59600,59100,59400
