Query,Execution Times
Query 1,273500,102700,102800,91600,87900,85600,90200,133500,130900,131400,130000,85900,93400,102000,89200,93800,98500,121100,106100,97700,95600,82800,97400,87000,84800,104800,130800,134500,164400,119400
Query 2,106600,102800,128900,125700,105300,113900,118200,120200,122100,119600,124600,91500,98500,123400,151000,115700,97800,117600,89000,103000,89100,77900,82000,77300,92400,97400,77200,76400,84300,75000
Query 3,65500,64100,70500,70300,77000,97500,82300,79500,79900,78400,79200,78700,78000,89000,66300,65100,63900,68700,63900,64200,63900,63100,63200,62800,62500,62700,62600,63500,62700,62700
Query 4,66000,65000,72100,87200,90200,117800,89500,80100,78500,77700,83700,65300,62600,62300,69800,70800,62800,62800,62400,62100,62500,61900,62200,61500,60600,60500,62600,62600,61300,60500
